,market_ids,weights,income,nodes0
0,C01Q1,0.05,0.4951234937433248,0.4341005529293524
1,C01Q1,0.05,0.3787622298925122,-0.7266490685215965
2,C01Q1,0.05,0.105014607698024,-0.623060748727011
3,C01Q1,0.05,-1.4854809288326685,-0.0413169856811359
4,C01Q1,0.05,-0.3165968971944348,-0.4666906005059696
5,C01Q1,0.05,-0.3372762393896416,0.8022770683798335
6,C01Q1,0.05,-0.014558328875788,1.508289302471681
7,C01Q1,0.05,0.3046616873949137,-0.3620816608407628
8,C01Q1,0.05,-0.3285734217343812,-0.1052246419034834
9,C01Q1,0.05,1.005121128830364,-0.8628187501729399
10,C01Q1,0.05,1.1172086040361169,0.6604320403167225
11,C01Q1,0.05,-0.5748240612252538,1.0010196983990278
12,C01Q1,0.05,1.536672368469473,0.3366832367457252
13,C01Q1,0.05,-0.1775278192190459,0.7618100726426037
14,C01Q1,0.05,0.0943082539193991,0.8069747345298429
15,C01Q1,0.05,-1.6687015675130097,-0.882952819867132
16,C01Q1,0.05,-0.3978131704118048,0.3902326431404512
17,C01Q1,0.05,0.3152272193707901,0.8585286351592031
18,C01Q1,0.05,1.3914582219386258,1.6150831833630943
19,C01Q1,0.05,0.2078385386086978,-1.5110027828417998
20,C03Q1,0.05,0.0538911319215831,0.001702597908323
21,C03Q1,0.05,-1.5030832600715804,0.2228245102899001
22,C03Q1,0.05,0.6217916557816192,-1.0287201031963065
23,C03Q1,0.05,0.2692290069288088,0.3831247573772207
24,C03Q1,0.05,0.3738338035836808,0.3866378493273477
25,C03Q1,0.05,0.456933424575487,2.1566738115923774
26,C03Q1,0.05,0.4598119814033055,0.4699452750860478
27,C03Q1,0.05,-0.0114283308851614,1.3708411189894243
28,C03Q1,0.05,-0.4963426125083128,-1.1341624629230804
29,C03Q1,0.05,0.5453261423268856,1.7297867702832133
30,C03Q1,0.05,0.0838364381306551,1.6356897682856415
31,C03Q1,0.05,-4.938182157265484,0.4861340956126805
32,C03Q1,0.05,0.4598119814033055,-0.3054894948221617
33,C03Q1,0.05,0.456933424575487,0.1069068709109276
34,C03Q1,0.05,0.2812415435566926,-0.2144815174523374
